id,name,price,description,image_url,image_2,image_3,image_4,sizes,colors,sizes_stock,stock
1,Nike shield,3899,Made In Vietnam ,/images/shoe4.jpg,/images/shoe5.jpg,/images/shoe6.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
2,Adidas Stan smith,3500,Made In Vietnam ,/images/shoe7.jpg,/images/shoe8.jpg,/images/shoe9.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
3,Air force Black,3999,Made In Vietnam ,/images/shoe1.jpg,/images/shoe2.jpg,/images/shoe3.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
4,Air force 1 white,3999,Made In Vietnam ,/images/shoe10.jpg,/images/shoe11.jpg,/images/shoe12.jpg,/images/shoe13.jpg,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
5,New balance 530,4100,Made In Vietnam ,/images/shoe14.jpg,/images/shoe15.jpg,/images/shoe16.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
6,Af1 Paris,3999,Made In Vietnam ,/images/shoe17.jpg,/images/shoe18.jpg,/images/shoe19.jpg,/images/shoe20.jpg,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
7,Colombia Montrail’s ,3999,Made In Vietnam ,/images/shoe21.jpg,/images/shoe22.jpg,/images/shoe23.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
8,ACG men’s,3600,Made In Vietnam ,/images/shoe24.jpg,/images/shoe25.jpg,/images/shoe26.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
9,CAT,4999,Made In Vietnam ,/images/shoe27.jpg,/images/shoe28.jpg,/images/shoe29.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
10,New balance 530,4099,Made In Vietnam ,/images/shoe30.jpg,/images/shoe31.jpg,/images/shoe32.jpg,/images/shoe33.jpg,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
11,Goupu Stock,3299,Made In Vietnam ,/images/shoe34.jpg,/images/shoe35.jpg,/images/shoe36.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
12,Air force Black,4999,Made In Vietnam ,/images/shoe37.jpg,/images/shoe38.jpg,/images/shoe39.jpg,/images/shoe40.jpg,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
13,Air force Black,4999,Made In Vietnam ,/images/shoe41.jpg,/images/shoe42.jpg,/images/shoe43.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
14,Under armour Hova,3499,Made In Vietnam ,/images/shoe44.jpg,/images/shoe45.jpg,/images/shoe46.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
15,Air force Black,3999,Made In Vietnam ,/images/shoe47.jpg,/images/shoe48.jpg,/images/shoe49.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
16,Adidas Stan smith,3499,Made In Vietnam ,/images/shoe50.jpg,/images/shoe51.jpg,,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
17,Travis black phantom,4100,Made In Vietnam ,/images/shoe52.jpg,/images/shoe53.jpg,,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
18,Old school,4599,Made In Vietnam ,/images/shoe54.jpg,/images/shoe55.jpg,/images/shoe56.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
19,Nike tn,3999,Made In Vietnam ,/images/shoe57.jpg,,,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
20,Air force Black,3999,Made In Vietnam ,/images/shoe58.jpg,/images/shoe59.jpg,/images/shoe60.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
21,Jordan 4 Black cat,4200,Made In Vietnam ,/images/shoe61.jpg,/images/shoe62.jpg,/images/shoe63.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
22,New balance 530,4200,Made In Vietnam ,/images/shoe64.jpg,/images/shoe65.jpg,/images/shoe66.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
23,Travis Black phantom,4100,Made In Vietnam ,/images/shoe67.jpg,/images/shoe68.jpg,/images/shoe69.jpg,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
24,All star double,3700,Made In Vietnam ,/images/shoe70.jpg,/images/shoe71.jpg,,,38|39|40|41|42|43,White|Black|Blue,38:0|39:2|40:5|41:1|42:4|43:0,12
